date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,758.95,762.45,752.6,756.1,244607
2022-01-04 00:00:00+05:30,756.1,783.9,756.05,769.9,861764
2022-01-05 00:00:00+05:30,774,781.45,766.2,773.9,363756
2022-01-06 00:00:00+05:30,772.8,785.25,766.9,777.15,465855
2022-01-07 00:00:00+05:30,781.9,786.8,775.55,778.5,329214
2022-01-10 00:00:00+05:30,779,783.8,769,772.95,343075
2022-01-11 00:00:00+05:30,758,782,756.05,773.5,1169211
2022-01-12 00:00:00+05:30,773.6,784,762.3,773.95,487434
2022-01-13 00:00:00+05:30,779.75,792.7,775,788.25,493780
2022-01-14 00:00:00+05:30,785.95,796,781.6,785.95,335183
2022-01-17 00:00:00+05:30,785.95,819.8,783.75,805.1,965554
2022-01-18 00:00:00+05:30,811.95,816.75,773.5,782.5,378963
2022-01-19 00:00:00+05:30,780,792.9,771.85,781.6,501982
2022-01-20 00:00:00+05:30,787.2,790,778.75,788.25,163312
2022-01-21 00:00:00+05:30,787,792.2,760,770.85,583737
2022-01-24 00:00:00+05:30,771.5,771.5,740,752.6,414108
2022-01-25 00:00:00+05:30,752.6,768.2,731.15,748.45,434946
2022-01-27 00:00:00+05:30,744.95,764.9,735.15,759.2,411586
2022-01-28 00:00:00+05:30,765,792.9,763.5,786.8,465768
2022-01-31 00:00:00+05:30,794.85,795.2,782.05,789.45,223234
2022-02-01 00:00:00+05:30,795,801.75,783.85,788.25,494044
2022-02-02 00:00:00+05:30,790,798,787.6,794.05,227248
2022-02-03 00:00:00+05:30,799.9,832,785,820.55,803416
2022-02-04 00:00:00+05:30,816,833,786.15,793.55,806749
2022-02-07 00:00:00+05:30,791.7,817.7,786,801.75,450258
2022-02-08 00:00:00+05:30,807,814.95,793.95,804.35,453395
2022-02-09 00:00:00+05:30,808.6,810.35,798.1,800.7,219508
2022-02-10 00:00:00+05:30,797,811.35,796.3,807.75,140942
2022-02-11 00:00:00+05:30,807.75,808.9,787.05,789.9,289484
2022-02-14 00:00:00+05:30,770,782.15,750.2,761.5,584919
2022-02-15 00:00:00+05:30,759,790.75,754.6,788.65,414359
2022-02-16 00:00:00+05:30,794,809.4,788.25,801.2,245992
2022-02-17 00:00:00+05:30,802,806.1,792.05,801.15,430157
2022-02-18 00:00:00+05:30,791,814.1,791,803.65,446439
2022-02-21 00:00:00+05:30,803,803,783,786.4,259292
2022-02-22 00:00:00+05:30,780,797.45,756.85,790.8,266131
2022-02-23 00:00:00+05:30,791.5,797.6,784.05,790.85,146408
2022-02-24 00:00:00+05:30,751.3,776.55,729.55,733.85,416197
2022-02-25 00:00:00+05:30,743,765,742.15,758.55,335928
2022-02-28 00:00:00+05:30,758,775.65,747.4,773.9,271221
2022-03-02 00:00:00+05:30,763.15,795.95,763.15,786.1,317907
2022-03-03 00:00:00+05:30,784,793.5,772.55,781.6,287460
2022-03-04 00:00:00+05:30,776.85,783.8,755,760.35,279164
2022-03-07 00:00:00+05:30,753.4,775,741.45,759.1,260450
2022-03-08 00:00:00+05:30,763.95,763.95,752.15,758.4,283870
2022-03-09 00:00:00+05:30,764.05,768.4,752.95,755.2,422520
2022-03-10 00:00:00+05:30,762,774.85,757.35,765.25,393270
2022-03-11 00:00:00+05:30,770.5,786,759.3,778.15,650333
2022-03-14 00:00:00+05:30,784,786.9,762,766.9,394873
2022-03-15 00:00:00+05:30,766.05,781.7,760,777.55,341088
2022-03-16 00:00:00+05:30,781.6,801.7,778.75,799.8,495585
2022-03-17 00:00:00+05:30,810,855.75,801.3,849.45,1124743
2022-03-21 00:00:00+05:30,853,867.85,841.35,854.75,991267
2022-03-22 00:00:00+05:30,860,860.5,825.25,830.8,625966
2022-03-23 00:00:00+05:30,832,838.7,818.6,822.55,441619
2022-03-24 00:00:00+05:30,823.2,827.85,802.1,808.85,440707
2022-03-25 00:00:00+05:30,814,814,790.55,793.75,160900
2022-03-28 00:00:00+05:30,796,800,780.1,798.5,256855
2022-03-29 00:00:00+05:30,802.7,819,799.8,808.45,694681
2022-03-30 00:00:00+05:30,815.15,815.75,793.05,796.65,262687
2022-03-31 00:00:00+05:30,795,807.4,786.85,799.6,276685
2022-04-01 00:00:00+05:30,805.95,805.95,793,797.05,377033
2022-04-04 00:00:00+05:30,808,810.7,800.25,807.4,481349
2022-04-05 00:00:00+05:30,812,834.9,805,824.05,984765
2022-04-06 00:00:00+05:30,816.6,847,816.6,831.25,498253
2022-04-07 00:00:00+05:30,831,839.35,814.05,818.4,594427
2022-04-08 00:00:00+05:30,823,848,810.1,833.2,549611
